filter_group,filter_name,target_category,url,markdown_length,rows_found,showing_range,first_terms,status
language,english_all,english,https://hatebase.org/search_results/language_id%3Deng,11309,50,"Showing 1 - 50 of 1,565 results","('6 gorillion', 'abbo (variant of abo)', 'abbos (plural of abbo)', 'ABC', 'ABCD')",ok
ethnicity,african,African,https://hatebase.org/search_results/ethnicity_id%3D300%7Clanguage_id%3Deng,8187,33,Showing 1 - 33 of 33 results,"(""african'ts (plural of african't)"", 'canigger', 'caniggers (plural of canigger)', 'canigglet (variant of canigger)', 'canniglets (plural of canigglet)')",ok
ethnicity,african_american,African American,https://hatebase.org/search_results/ethnicity_id%3D5%7Clanguage_id%3Deng,12167,50,Showing 1 - 50 of 65 results,"(""african'ts (plural of african't)"", 'boogat', 'boogats (plural of boogat)', 'bootlip', 'bootlips (plural of bootlip)')",ok
ethnicity,arabs,Arabs,https://hatebase.org/search_results/ethnicity_id%3D14%7Clanguage_id%3Deng,9817,35,Showing 1 - 35 of 35 results,"('Ahab', 'cairo coon (variant of sand nigger)', 'cairo coons (plural of cairo coon)', 'deminigger (variant of seminiggers)', 'deminiggers (plural of deminigger)')",ok
sexual_orientation,homosexuals,Homosexuals,https://hatebase.org/search_results/orientation_id%3D3%7Clanguage_id%3Deng,14069,50,Showing 1 - 50 of 68 results,"('batiman (variant of batty boy)', 'batimen (plural of batiman)', 'batty boy', 'batty boys (plural of batty boy)', 'batty bwoy (variant of batty boy)')",ok
gender,female,Female,https://hatebase.org/search_results/gender_id%3D6%7Clanguage_id%3Deng,12493,50,Showing 1 - 50 of 64 results,"('Beckies (plural of Becky)', 'Becky', 'Beckys (plural of Becky)', 'bimbo', 'bint (variant of bitch)')",ok
gender,transgender,Transgender,https://hatebase.org/search_results/gender_id%3D14%7Clanguage_id%3Deng,750,2,Showing 1 - 2 of 2 results,"('gender nigger', 'trannies (plural of tranny)')",ok
religion,islam,Islam,https://hatebase.org/search_results/religion_id%3D11%7Clanguage_id%3Deng,11461,50,Showing 1 - 50 of 67 results,"('African catfish', 'African catfishes (plural of African catfish)', 'banislam', 'Bengali', 'Bengalis (plural of Bengali)')",ok
religion,judaism,Judaism,https://hatebase.org/search_results/religion_id%3D14%7Clanguage_id%3Deng,9108,38,Showing 1 - 38 of 38 results,"('Christ killer', 'Christ killers (plural of Christ killer)', 'four by two', 'four by twos (plural of four by two)', 'gew')",ok
