# SPLC Extremist Files
# Format: website,slug
# Generated from https://www.splcenter.org/resources/extremist-files

https://www.splcenter.org/resources/extremist-files,james-mason
https://www.splcenter.org/resources/extremist-files,james-orien-allsup
https://www.splcenter.org/resources/extremist-files,james-timothy-turner
https://www.splcenter.org/resources/extremist-files,james-wickstrom
https://www.splcenter.org/resources/extremist-files,jamie-kelso
https://www.splcenter.org/resources/extremist-files,jared-taylor
https://www.splcenter.org/resources/extremist-files,jason-kessler
https://www.splcenter.org/resources/extremist-files,jean-philippe-rushton
https://www.splcenter.org/resources/extremist-files,jeff-berry
https://www.splcenter.org/resources/extremist-files,jeff-schoep
https://www.splcenter.org/resources/extremist-files,jewish-defense-league
https://www.splcenter.org/resources/extremist-files,john-de-nugent
https://www.splcenter.org/resources/extremist-files,john-tanton
https://www.splcenter.org/resources/extremist-files,john-weaver
https://www.splcenter.org/resources/extremist-files,johnny-monoxide-aka-john-ramondetta
https://www.splcenter.org/resources/extremist-files,joseph-francis-farah
https://www.splcenter.org/resources/extremist-files,jt-ready
https://www.splcenter.org/resources/extremist-files,kevin-deanna
https://www.splcenter.org/resources/extremist-files,kevin-lamb
https://www.splcenter.org/resources/extremist-files,kevin-macdonald
https://www.splcenter.org/resources/extremist-files,kevin-strom
https://www.splcenter.org/resources/extremist-files,keystone-united
https://www.splcenter.org/resources/extremist-files,kingdom-identity-ministries
https://www.splcenter.org/resources/extremist-files,kirk-lyons
https://www.splcenter.org/resources/extremist-files,knights-ku-klux-klan
https://www.splcenter.org/resources/extremist-files,krisanne-hall
https://www.splcenter.org/resources/extremist-files,ku-klux-klan
https://www.splcenter.org/resources/extremist-files,kyle-bristow
https://www.splcenter.org/resources/extremist-files,kyle-rogers
https://www.splcenter.org/resources/extremist-files,larry-klayman
https://www.splcenter.org/resources/extremist-files,larry-pratt
https://www.splcenter.org/resources/extremist-files,league-south
https://www.splcenter.org/resources/extremist-files,liberty-counsel
https://www.splcenter.org/resources/extremist-files,lieutenant-general-william-g-jerry-boykin-ret
https://www.splcenter.org/resources/extremist-files,linda-gottfredson
https://www.splcenter.org/resources/extremist-files,lou-engle
https://www.splcenter.org/resources/extremist-files,louis-beam
https://www.splcenter.org/resources/extremist-files,louis-farrakhan
https://www.splcenter.org/resources/extremist-files,lydia-brimelow
https://www.splcenter.org/resources/extremist-files,male-supremacy
https://www.splcenter.org/resources/extremist-files,malik-zulu-shabazz
https://www.splcenter.org/resources/extremist-files,mark-weber
https://www.splcenter.org/resources/extremist-files,massresistance
https://www.splcenter.org/resources/extremist-files,matt-hale
https://www.splcenter.org/resources/extremist-files,matt-walsh
https://www.splcenter.org/resources/extremist-files,matthew-heimbach
https://www.splcenter.org/resources/extremist-files,mens-rights-activists
https://www.splcenter.org/resources/extremist-files,mgtow
https://www.splcenter.org/resources/extremist-files,michael-boldin
https://www.splcenter.org/resources/extremist-files,michael-brian-vanderboegh-0
https://www.splcenter.org/resources/extremist-files,michael-brown
https://www.splcenter.org/resources/extremist-files,michael-enoch-peinovich
https://www.splcenter.org/resources/extremist-files,michael-flynn
https://www.splcenter.org/resources/extremist-files,michael-hill
https://www.splcenter.org/resources/extremist-files,michael-levin
https://www.splcenter.org/resources/extremist-files,michael-ralph-tubbs
https://www.splcenter.org/resources/extremist-files,mike-cernovich
https://www.splcenter.org/resources/extremist-files,militia-movement
https://www.splcenter.org/resources/extremist-files,misogynist-incels
https://www.splcenter.org/resources/extremist-files,moms-liberty
https://www.splcenter.org/resources/extremist-files,moorish-sovereign-citizens
https://www.splcenter.org/resources/extremist-files,morris-gulett
https://www.splcenter.org/resources/extremist-files,nathan-benjamin-damigo
https://www.splcenter.org/resources/extremist-files,nation-islam
https://www.splcenter.org/resources/extremist-files,national-alliance
https://www.splcenter.org/resources/extremist-files,national-coalition-issue-reform
https://www.splcenter.org/resources/extremist-files,national-liberty-alliance
https://www.splcenter.org/resources/extremist-files,national-socialist-movement
https://www.splcenter.org/resources/extremist-files,national-vanguard
https://www.splcenter.org/resources/extremist-files,nationalist-social-club-nsc-131
https://www.splcenter.org/resources/extremist-files,neo-confederate
https://www.splcenter.org/resources/extremist-files,neo-nazi
https://www.splcenter.org/resources/extremist-files,neo-volkisch
https://www.splcenter.org/resources/extremist-files,network-radio
https://www.splcenter.org/resources/extremist-files,new-black-panther-party
https://www.splcenter.org/resources/extremist-files,new-black-panther-party-self-defense
https://www.splcenter.org/resources/extremist-files,nick-fuentes
https://www.splcenter.org/resources/extremist-files,nuwaubian-nation-moors
https://www.splcenter.org/resources/extremist-files,oath-keepers
https://www.splcenter.org/resources/extremist-files,occidental-quarterly
https://www.splcenter.org/resources/extremist-files,odysee
https://www.splcenter.org/resources/extremist-files,pacific-justice-institute
https://www.splcenter.org/resources/extremist-files,pamela-geller
https://www.splcenter.org/resources/extremist-files,patriot-front
https://www.splcenter.org/resources/extremist-files,paul-cameron
